,url,kesto,resid,pvm,aika,paiva,paiva_i,paikka
2022-11-25 19:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-25+19%3A00%3A00&kesto=60&resid=4,60,4,2022-11-25 19:00:00,19:00:00,Friday,4,Meilahti
2022-11-13 12:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-13+12%3A00%3A00&kesto=60&resid=1,60,1,2022-11-13 12:00:00,12:00:00,Sunday,6,Meilahti
2022-11-13 12:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-13+12%3A00%3A00&kesto=60&resid=3,60,3,2022-11-13 12:00:00,12:00:00,Sunday,6,Meilahti
2022-11-13 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-13+13%3A00%3A00&kesto=60&resid=1,60,1,2022-11-13 13:00:00,13:00:00,Sunday,6,Meilahti
2022-11-13 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-13+13%3A00%3A00&kesto=60&resid=2,60,2,2022-11-13 13:00:00,13:00:00,Sunday,6,Meilahti
2022-11-13 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-13+13%3A00%3A00&kesto=60&resid=3,60,3,2022-11-13 13:00:00,13:00:00,Sunday,6,Meilahti
2022-11-27 11:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+11%3A00%3A00&kesto=60&resid=5,60,5,2022-11-27 11:00:00,11:00:00,Sunday,6,Meilahti
2022-11-27 12:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+12%3A00%3A00&kesto=60&resid=2,60,2,2022-11-27 12:00:00,12:00:00,Sunday,6,Meilahti
2022-11-27 12:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+12%3A00%3A00&kesto=60&resid=3,60,3,2022-11-27 12:00:00,12:00:00,Sunday,6,Meilahti
2022-11-27 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+13%3A00%3A00&kesto=60&resid=1,60,1,2022-11-27 13:00:00,13:00:00,Sunday,6,Meilahti
2022-11-27 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+13%3A00%3A00&kesto=60&resid=2,60,2,2022-11-27 13:00:00,13:00:00,Sunday,6,Meilahti
2022-11-27 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+13%3A00%3A00&kesto=60&resid=3,60,3,2022-11-27 13:00:00,13:00:00,Sunday,6,Meilahti
2022-11-25 19:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-25+19%3A00%3A00&kesto=60&resid=4,60,4,25.11.2022,19:00:00,Friday,4,Meilahti
2022-11-13 12:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-13+12%3A00%3A00&kesto=60&resid=1,60,1,13.11.2022,12:00:00,Sunday,6,Meilahti
2022-11-13 12:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-13+12%3A00%3A00&kesto=60&resid=3,60,3,13.11.2022,12:00:00,Sunday,6,Meilahti
2022-11-13 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-13+13%3A00%3A00&kesto=60&resid=1,60,1,13.11.2022,13:00:00,Sunday,6,Meilahti
2022-11-13 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-13+13%3A00%3A00&kesto=60&resid=2,60,2,13.11.2022,13:00:00,Sunday,6,Meilahti
2022-11-13 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-13+13%3A00%3A00&kesto=60&resid=3,60,3,13.11.2022,13:00:00,Sunday,6,Meilahti
2022-11-27 11:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+11%3A00%3A00&kesto=60&resid=5,60,5,27.11.2022,11:00:00,Sunday,6,Meilahti
2022-11-27 12:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+12%3A00%3A00&kesto=60&resid=2,60,2,27.11.2022,12:00:00,Sunday,6,Meilahti
2022-11-27 12:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+12%3A00%3A00&kesto=60&resid=3,60,3,27.11.2022,12:00:00,Sunday,6,Meilahti
2022-11-27 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+13%3A00%3A00&kesto=60&resid=1,60,1,27.11.2022,13:00:00,Sunday,6,Meilahti
2022-11-27 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+13%3A00%3A00&kesto=60&resid=2,60,2,27.11.2022,13:00:00,Sunday,6,Meilahti
2022-11-27 13:00:00,https://play.fi/meilahti/booking/create-booking?alkuaika=2022-11-27+13%3A00%3A00&kesto=60&resid=3,60,3,27.11.2022,13:00:00,Sunday,6,Meilahti
